seed,tests,steps,avg_test_len,push,pop,transition_coverage,state_coverage,pair_coverage,bug_detecting_tests,oracle_failures_correct_sut,manual_transition_coverage
100,20,300,15.00,167,133,100.00,100.00,100.00,20,0,100.00
101,20,300,15.00,172,128,100.00,100.00,100.00,19,0,100.00
102,20,300,15.00,170,130,100.00,100.00,100.00,19,0,100.00
103,20,300,15.00,170,130,100.00,100.00,100.00,19,0,100.00
104,20,300,15.00,172,128,100.00,100.00,100.00,20,0,100.00
105,20,300,15.00,169,131,100.00,100.00,100.00,17,0,100.00
106,20,300,15.00,169,131,100.00,100.00,100.00,19,0,100.00
107,20,300,15.00,171,129,100.00,100.00,100.00,18,0,100.00
108,20,300,15.00,173,127,100.00,100.00,100.00,19,0,100.00
109,20,300,15.00,170,130,100.00,100.00,100.00,18,0,100.00
110,20,300,15.00,166,134,100.00,100.00,100.00,18,0,100.00
111,20,300,15.00,170,130,100.00,100.00,100.00,15,0,100.00
112,20,300,15.00,170,130,100.00,100.00,100.00,18,0,100.00
113,20,300,15.00,167,133,100.00,100.00,100.00,20,0,100.00
114,20,300,15.00,168,132,100.00,100.00,100.00,20,0,100.00
115,20,300,15.00,173,127,100.00,100.00,100.00,20,0,100.00
116,20,300,15.00,171,129,100.00,100.00,100.00,18,0,100.00
117,20,300,15.00,169,131,100.00,100.00,100.00,19,0,100.00
118,20,300,15.00,173,127,100.00,100.00,100.00,20,0,100.00
119,20,300,15.00,171,129,100.00,100.00,100.00,19,0,100.00
120,20,300,15.00,174,126,100.00,100.00,94.44,20,0,100.00
121,20,300,15.00,172,128,100.00,100.00,100.00,20,0,100.00
122,20,300,15.00,167,133,100.00,100.00,100.00,17,0,100.00
123,20,300,15.00,165,135,100.00,100.00,100.00,17,0,100.00
124,20,300,15.00,172,128,100.00,100.00,100.00,19,0,100.00
125,20,300,15.00,169,131,100.00,100.00,100.00,20,0,100.00
126,20,300,15.00,167,133,100.00,100.00,100.00,17,0,100.00
127,20,300,15.00,169,131,100.00,100.00,100.00,16,0,100.00
128,20,300,15.00,166,134,100.00,100.00,100.00,19,0,100.00
129,20,300,15.00,168,132,100.00,100.00,100.00,19,0,100.00
